epoch,accuracy,loss,recall,val_accuracy,val_loss,val_recall
0,0.2230919748544693,0.6986044049263,0.8456375598907471,0.2583170235157013,0.7675621509552002,0.8999999761581421
1,0.25896933674812317,0.6905512809753418,0.8456375598907471,0.27299413084983826,0.7581676840782166,0.8999999761581421
2,0.2919112741947174,0.6810072064399719,0.8791946172714233,0.3131115436553955,0.745870053768158,0.8999999761581421
3,0.3326810300350189,0.6738776564598083,0.899328887462616,0.35127201676368713,0.738796591758728,0.8999999761581421
4,0.35844749212265015,0.666702926158905,0.8590604066848755,0.408023476600647,0.7306291460990906,0.8999999761581421
5,0.4217221140861511,0.6590620875358582,0.8926174640655518,0.4628179967403412,0.718189537525177,0.8999999761581421
6,0.44227007031440735,0.6526808738708496,0.8724831938743591,0.47847357392311096,0.7101883292198181,0.8999999761581421
7,0.4885844886302948,0.644152045249939,0.9127516746520996,0.5068492889404297,0.700380802154541,0.9200000166893005
8,0.509132444858551,0.638624906539917,0.8657718300819397,0.5273972749710083,0.6896318793296814,0.8999999761581421
9,0.5244618654251099,0.6359809041023254,0.8791946172714233,0.548923671245575,0.6744984984397888,0.8999999761581421
10,0.5437051653862,0.6203187704086304,0.8791946172714233,0.568493127822876,0.6654295325279236,0.8999999761581421
11,0.5574038028717041,0.6124057173728943,0.8657718300819397,0.5890411138534546,0.6505182385444641,0.8999999761581421
12,0.5857794880867004,0.6074994206428528,0.818791925907135,0.6164383292198181,0.6335750222206116,0.8999999761581421
13,0.6125244498252869,0.5991077423095703,0.8523489832878113,0.6281800270080566,0.6202462315559387,0.8999999761581421
14,0.6164383292198181,0.5869157910346985,0.8724831938743591,0.6418786644935608,0.6099483370780945,0.8999999761581421
15,0.631767749786377,0.5794892311096191,0.8389261960983276,0.645792543888092,0.5982216596603394,0.8999999761581421
16,0.6444879174232483,0.5629014372825623,0.8724831938743591,0.6594911813735962,0.5867747664451599,0.8799999952316284
17,0.6578603982925415,0.5534811019897461,0.8859060406684875,0.6859099864959717,0.5706833004951477,0.8799999952316284
18,0.6594911813735962,0.5514914393424988,0.8322147727012634,0.6859099864959717,0.5622405409812927,0.8600000143051147
19,0.6682974696159363,0.5471420884132385,0.8389261960983276,0.6917808055877686,0.5524543523788452,0.8600000143051147
20,0.6741682887077332,0.5352360606193542,0.8657718300819397,0.6908023357391357,0.5481996536254883,0.8600000143051147
21,0.6810176372528076,0.5346096754074097,0.8590604066848755,0.6937377452850342,0.5432461500167847,0.8600000143051147
22,0.6855838298797607,0.5216895937919617,0.8724831938743591,0.6996086239814758,0.5350446701049805,0.8600000143051147
23,0.6865622997283936,0.5164365172386169,0.8859060406684875,0.7005870938301086,0.5308192372322083,0.8399999737739563
24,0.6960209012031555,0.5216144323348999,0.8456375598907471,0.709393322467804,0.523467481136322,0.8199999928474426
25,0.6836268901824951,0.5161383152008057,0.8389261960983276,0.7054794430732727,0.5241438150405884,0.8199999928474426
26,0.6921069622039795,0.5095396637916565,0.8724831938743591,0.71330726146698,0.5168555974960327,0.8199999928474426
27,0.694390058517456,0.5096849799156189,0.8456375598907471,0.709393322467804,0.5178836584091187,0.8600000143051147
28,0.6973255276679993,0.50596022605896,0.8657718300819397,0.709393322467804,0.5174793601036072,0.8399999737739563
29,0.6953685879707336,0.5098710656166077,0.8389261960983276,0.709393322467804,0.5163867473602295,0.8399999737739563
30,0.6917808055877686,0.501437246799469,0.8590604066848755,0.7054794430732727,0.5175356864929199,0.8399999737739563
31,0.6973255276679993,0.5031239986419678,0.8255033493041992,0.7084148526191711,0.5129104256629944,0.8399999737739563
32,0.6966732144355774,0.5072802901268005,0.8523489832878113,0.7054794430732727,0.5136381387710571,0.8399999737739563
33,0.6963470578193665,0.49626845121383667,0.8590604066848755,0.7045009732246399,0.5127627849578857,0.8399999737739563
34,0.7028701901435852,0.4874688386917114,0.8389261960983276,0.7113503217697144,0.5053938031196594,0.8399999737739563
35,0.6937377452850342,0.4884716868400574,0.8590604066848755,0.709393322467804,0.5047271251678467,0.8399999737739563
36,0.7054794430732727,0.4977145791053772,0.8456375598907471,0.709393322467804,0.5074475407600403,0.8399999737739563
37,0.704174816608429,0.48806506395339966,0.8456375598907471,0.7064579129219055,0.5078480243682861,0.8600000143051147
38,0.7084148526191711,0.4907843768596649,0.8657718300819397,0.7113503217697144,0.5024262070655823,0.8399999737739563
39,0.6996086239814758,0.49774205684661865,0.8590604066848755,0.71330726146698,0.5029894709587097,0.8600000143051147
40,0.7045009732246399,0.49853217601776123,0.8322147727012634,0.7152642011642456,0.49791476130485535,0.8600000143051147
41,0.6983039975166321,0.48742926120758057,0.8389261960983276,0.7123287916183472,0.49814140796661377,0.8600000143051147
42,0.7051532864570618,0.4925915002822876,0.8322147727012634,0.7142857313156128,0.49780896306037903,0.8600000143051147
43,0.7035225033760071,0.48999297618865967,0.8590604066848755,0.7123287916183472,0.4993900656700134,0.8600000143051147
44,0.7002609372138977,0.4908154308795929,0.8389261960983276,0.7084148526191711,0.5016183853149414,0.8600000143051147
45,0.7067840695381165,0.4837286174297333,0.8724831938743591,0.709393322467804,0.4983408451080322,0.8600000143051147
46,0.6979778409004211,0.5025322437286377,0.8389261960983276,0.7123287916183472,0.5012118220329285,0.8799999952316284
47,0.704174816608429,0.47885316610336304,0.8456375598907471,0.7123287916183472,0.49933990836143494,0.8799999952316284
48,0.7165688276290894,0.48147261142730713,0.8523489832878113,0.7172211408615112,0.49397939443588257,0.8600000143051147
49,0.7028701901435852,0.4799056947231293,0.8657718300819397,0.7123287916183472,0.4955913722515106,0.8600000143051147
